label,count,precision_Int_ResGAT,precision_ESM-3,recall_Int_ResGAT,recall_ESM-3,bin
1606,3,1.0,0.0,1.0,0.0,0-5
1607,5,1.0,1.0,1.0,1.0,5-10
1608,3,1.0,0.42857142857142855,1.0,1.0,0-5
1609,5,0.7142857142857143,1.0,1.0,0.2,5-10
1610,2,0.0,0.0,0.0,0.0,0-5
1611,0,0.0,0.0,0.0,0.0,0-5
1612,3,0.5,0.0,0.3333333333333333,0.0,0-5
1613,127,1.0,0.9694656488549618,0.9921259842519685,1.0,100-500
1614,3,1.0,0.0,1.0,0.0,0-5
1615,1,1.0,0.0,1.0,0.0,0-5
1616,0,0.0,0.0,0.0,0.0,0-5
1617,116,0.9914529914529915,0.9914529914529915,1.0,1.0,100-500
1618,1,1.0,0.0,1.0,0.0,0-5
1619,128,1.0,1.0,0.9921875,1.0,100-500
